Image,PSNR,SSIM,RMSE,SAM
1,17.898219227242805,0.64830095,0.12737642228603363,0.2678901255130768
2,17.65032005599395,0.7094224,0.13106417655944824,0.15821123123168945
3,18.803584516260653,0.6381579,0.11476798355579376,0.2959643304347992
4,19.112980419338715,0.7390287,0.11075184494256973,0.17786434292793274
5,20.194534470585445,0.7505743,0.09778522700071335,0.1351860910654068
6,21.589761009049674,0.79678744,0.0832744836807251,0.04834230989217758
7,24.252577746878906,0.8297949,0.06128738820552826,0.059943459928035736
8,25.010352520071514,0.8208863,0.05616714805364609,0.05301477015018463
9,24.316915924042046,0.8330086,0.0608350969851017,0.05577387288212776
10,25.619413421783626,0.8449402,0.05236358195543289,0.040037453174591064
11,21.014127042605153,0.8380451,0.08898025751113892,0.031028365716338158
12,26.199051879133695,0.90627784,0.04898322746157646,0.0445806048810482
13,23.043033523071106,0.8957731,0.07044470310211182,0.06687197089195251
14,21.483459851368035,0.7478507,0.08429989218711853,0.1706775277853012
15,21.492741657095124,0.8742998,0.0842098593711853,0.0814717561006546
16,23.825328867993303,0.88365906,0.06437741965055466,0.08606386929750443
17,16.983300288340253,0.8325968,0.14152559638023376,0.06996490061283112
18,23.203417393437466,0.88302094,0.06915587931871414,0.06593053787946701
19,20.593070306554047,0.8686752,0.09339991956949234,0.10163291543722153
20,22.116525745212307,0.86146164,0.07837430387735367,0.08742564171552658
21,25.013784727534105,0.88044184,0.05614495649933815,0.062180813401937485
22,25.14902054131598,0.90239316,0.05527757108211517,0.0549059696495533
23,22.40201470611695,0.8804977,0.07584016770124435,0.06579172611236572
24,20.73749723380839,0.86705893,0.09185972809791565,0.0776459127664566
25,22.524352076826922,0.8096447,0.07477947324514389,0.13497968018054962
26,21.80690414379857,0.8732222,0.08121847361326218,0.12442775815725327
27,21.0006507717709,0.8306723,0.08911841362714767,0.12466178834438324
28,20.08922327275243,0.85605186,0.09897803515195847,0.11552625894546509
29,20.79150437498944,0.86713195,0.09129033237695694,0.0858733057975769
30,22.737858801780746,0.892973,0.07296372950077057,0.07643555104732513
31,22.925046144270354,0.8534343,0.07140813022851944,0.0746026337146759
32,22.811200490709442,0.88653344,0.07235023379325867,0.05827606841921806
33,23.25560053992966,0.8517499,0.06874164938926697,0.08665420114994049
34,21.37815608637701,0.8472622,0.0853281244635582,0.10653121769428253
35,20.899528319752076,0.76336724,0.0901620090007782,0.22407513856887817
36,23.36455086659338,0.7918418,0.06788478791713715,0.13219067454338074
37,18.90948316246917,0.6801669,0.11337722837924957,0.30624860525131226
38,19.625745508199472,0.81906646,0.10440294444561005,0.12194354832172394
39,19.38864153216663,0.8071015,0.10729214549064636,0.122945636510849
40,25.284784958757612,0.89615744,0.05442027747631073,0.08062082529067993
41,25.095621801433886,0.8830781,0.05561845377087593,0.058675236999988556
42,25.026620486064857,0.888177,0.05606205016374588,0.0644826889038086
43,25.53249450707606,0.87568665,0.05289021134376526,0.06514161825180054
44,25.250950378920557,0.8804822,0.054632678627967834,0.0762578621506691
45,22.70605095968329,0.8354147,0.07323141396045685,0.13940364122390747
46,19.10362210331258,0.70171434,0.11087123304605484,0.26056498289108276
47,18.402435161876046,0.6690106,0.1201927438378334,0.22806522250175476
48,20.70311235195282,0.82347363,0.09222409129142761,0.1340188980102539
49,18.555758774420905,0.7176402,0.1180897131562233,0.18168389797210693
50,17.757762558378154,0.6650531,0.1294529289007187,0.3436852991580963
51,17.06391085565794,0.62819165,0.14021822810173035,0.4400450885295868
52,23.331433652598523,0.8640266,0.06814410537481308,0.09287679940462112
53,24.375178852903918,0.8617744,0.06042839214205742,0.08009487390518188
54,24.393611343798188,0.8857425,0.06030029430985451,0.06351403892040253
55,23.875730799671953,0.8862446,0.06400493532419205,0.0708082914352417
56,20.944796723230574,0.77695084,0.0896933302283287,0.180894136428833
57,21.60221846479842,0.8687997,0.08315513283014297,0.09282252192497253
58,17.83440814839683,0.73308486,0.12831562757492065,0.17576657235622406
59,21.81810292271949,0.85862184,0.08111382275819778,0.09815455973148346
60,21.0110744698645,0.84060925,0.0890115275979042,0.11525673419237137
61,18.052008204802338,0.70695156,0.1251409947872162,0.26998552680015564
62,18.961358504189004,0.761683,0.11270211637020111,0.1504334658384323
63,23.231919868723057,0.853452,0.06892932206392288,0.08158155530691147
64,24.559067331580508,0.883264,0.05916251242160797,0.062384430319070816
65,21.739937680376492,0.84683275,0.08184706419706345,0.08798670023679733
66,24.973777544648005,0.8819637,0.05640415474772453,0.06966803967952728
67,23.100170349079576,0.88143,0.06998282670974731,0.07428859174251556
68,23.878445567279822,0.89073914,0.0639849305152893,0.07596505433320999
69,21.638452640642587,0.803312,0.0828089639544487,0.1254645437002182
70,24.08513605355396,0.85946864,0.06248031184077263,0.08964861929416656
71,22.21511439231106,0.8688464,0.07748975604772568,0.08584168553352356
72,24.07303167067848,0.7180515,0.06256745010614395,0.09836132824420929
73,24.641801996835486,0.7573013,0.058601658791303635,0.0785604864358902
74,28.222438450719125,0.78120995,0.03880413994193077,0.06026206165552139
75,27.32256745389167,0.76067233,0.04303993657231331,0.06939273327589035
